Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Iowa,US,2021-03-07 05:31:30,42.0115,-93.2105,339529,5552,318996.0,14963.0,19.0,10760.807208714865,1323369.0,,1.6352931127415606,84000019.0,USA,41944.20409055901,,,
Kansas,US,2021-03-07 05:31:30,38.5266,-96.7265,298188,4768,,293420.0,20.0,10235.353964591526,1270547.0,,1.5989912404255031,84000020.0,USA,43611.74250355437,,,
Kentucky,US,2021-03-07 05:31:30,37.6681,-84.6701,410184,4806,48038.0,357340.0,21.0,9181.15537999312,3969899.0,,1.1716692996313849,84000021.0,USA,88858.31617488568,,,
Louisiana,US,2021-03-07 05:31:30,31.1695,-91.8678,433045,9716,415954.0,7375.0,22.0,9315.211644138242,5674146.0,,2.2436467341731228,84000022.0,USA,122056.30105356355,,,
Maine,US,2021-03-07 05:31:30,44.6939,-69.3819,45639,704,12833.0,32102.0,23.0,3395.2233725037413,1644587.0,,1.5425403711737768,84000023.0,USA,122345.80557233532,,,
Maryland,US,2021-03-07 05:31:30,39.0639,-76.8021,386610,7941,9701.0,368968.0,24.0,6394.814148284395,8024078.0,,2.0540079149530537,84000024.0,USA,132724.16006139922,,,
Massachusetts,US,2021-03-07 05:31:30,42.2302,-71.5301,589931,16374,508745.0,64812.0,25.0,8559.024203544053,16628614.0,,2.7755788388811573,84000025.0,USA,241256.5362684645,,,
Michigan,US,2021-03-07 05:31:30,43.3266,-84.5361,656072,16658,541258.0,98156.0,26.0,6569.354102096386,10584735.0,,2.5390505920081936,84000026.0,USA,105986.64825179732,,,
Minnesota,US,2021-03-07 05:31:30,45.6945,-93.9002,489116,6614,474175.0,8327.0,27.0,8672.835390677974,7058033.0,,1.3522354615265089,84000027.0,USA,125150.59493243531,,,
Mississippi,US,2021-03-07 05:31:30,32.7416,-89.6787,297321,6805,278162.0,12354.0,28.0,9990.124822379525,1756119.0,,2.288772067899677,84000028.0,USA,59006.42071347906,,,
Missouri,US,2021-03-07 05:31:30,38.4561,-92.2884,566841,8512,,489189.0,29.0,8109.178633134271,4541067.0,,1.7090788535147028,84000029.0,USA,73989.73967596849,,,
Montana,US,2021-03-07 05:31:30,46.9219,-110.4544,100656,1379,97541.0,1736.0,30.0,9417.858526279546,1096913.0,,1.3700127165792402,84000030.0,USA,102632.4456528858,,,
Nebraska,US,2021-03-07 05:31:30,41.1254,-98.2681,202653,2113,156510.0,44030.0,31.0,10476.228386152248,2411545.0,,1.0426689957710964,84000031.0,USA,124665.78922336963,,,
Nevada,US,2021-03-07 05:31:30,38.3135,-117.0554,295960,5036,,290924.0,32.0,9608.60423952553,2754332.0,,1.7015812947695634,84000032.0,USA,89421.83447851342,,,
